N,Function 1 (s),Function 2 (s)
223,0.001012666686438024,0.0020832082955166698
224,0.0010247417027130722,0.0020693041849881412
225,0.0010156583972275256,0.0020999332889914514
226,0.0010406082961708306,0.0021284166956320404
227,0.0010541209019720554,0.002149274991825223
228,0.0010676374891772865,0.002200641599483788
229,0.0010811083018779754,0.0022264250088483094
230,0.001088700001128018,0.00222724589984864
231,0.0010928957955911756,0.00223384581040591
232,0.0011023000115528703,0.002252575010061264
233,0.001090720808133483,0.002310462505556643
234,0.0011442959075793624,0.002295829192735255
235,0.0011205374961718918,0.002356200013309717
236,0.0011504125082865357,0.0023670833092182876
237,0.0011578042060136795,0.0023856707848608494
238,0.001158095896244049,0.0023865542141720654
239,0.0011636249953880906,0.002404337492771447
240,0.001177145796827972,0.0024169458774849772
241,0.0011893582995980978,0.002443074993789196
242,0.0011880333069711924,0.0024688374949619176
243,0.0012143291998654604,0.002465941687114537
244,0.001213825005106628,0.0025510333944112062
245,0.0012382416985929011,0.002574174990877509
246,0.0012695541838184,0.002581387502141297
247,0.0012757500167936086,0.0026137375039979815
248,0.001286862511187792,0.0026066625025123356
249,0.0012822541873902082,0.00259641669690609
250,0.0013037625001743435,0.002672970900312066
251,0.0013033624971285462,0.0027069207979366185
252,0.0013163083000108599,0.0027136333053931596
253,0.001327691599726677,0.0027280875016003846
254,0.001333779189735651,0.0027525207959115507
255,0.0013483416987583041,0.0027665500063449146
256,0.0013443792006000877,0.0027947457972913982
257,0.0013863125117495657,0.002797233313322067
258,0.001370587502606213,0.002807349991053343
259,0.0013867666013538838,0.0028540957951918243
260,0.0014009832870215178,0.002789095789194107
261,0.0013662250014021993,0.0028663000091910364
262,0.0014034041902050375,0.002925983304157853
263,0.0014244707999750972,0.0029030875070020557
264,0.0014133624965324998,0.002940245810896158
265,0.0014670416945591568,0.002977987495251
266,0.0014625124866142869,0.0029802458127960564
267,0.0014758625067770482,0.0030048375017941
268,0.001495029078796506,0.003012779098935425
269,0.0026695250067859887,0.00330159580335021
270,0.0016552416840568186,0.003487166715785861
271,0.0015801957808434964,0.003294441686011851
272,0.001561808306723833,0.0031256458023563027
273,0.0015326540917158127,0.0031381540931761263
274,0.0015573082957416773,0.003183100000023842
275,0.00157625419087708,0.003153383289463818
276,0.0015494042076170445,0.0031772124813869594
277,0.0015691374894231558,0.0031792999943718314
278,0.0015677958959713577,0.0032324459170922637
279,0.0015943875070661307,0.0032632583985105156
280,0.0015622291946783661,0.0032601292012259366
281,0.0016275707865133881,0.0033268666826188563
282,0.0016350209014490246,0.003332741605117917
283,0.001652537495829165,0.003339316719211638
284,0.0016499292105436325,0.0033736417070031168
285,0.0016376291867345571,0.0033767832908779384
286,0.0016729791881516577,0.003447787510231137
287,0.0017028999980539083,0.003504912508651614
288,0.0017108583124354482,0.003406025003641844
289,0.0016995750134810804,0.0035318083129823206
290,0.0017395999981090426,0.0035659499932080506
291,0.0017129375133663415,0.003473433293402195
292,0.0017006749985739589,0.00354566250462085
293,0.0017746750032529234,0.0036392083158716558
294,0.0017729292158037424,0.003621183289214969
295,0.001805129204876721,0.0036602707812562587
296,0.0017831042176112532,0.0037296124966815112
297,0.0018381499918177723,0.003780691581778228
298,0.0018439333187416195,0.0037736249854788185
299,0.0018548000138252974,0.0037634083069860934
300,0.0018618624890223145,0.0037849041167646647
301,0.0018429124960675836,0.003802949981763959
302,0.0018708874937146901,0.003875750000588596
303,0.0018988708034157753,0.003923229197971523
304,0.0019052667077630759,0.0038874374935403467
305,0.0018702584085986019,0.003895883308723569
306,0.001947312499396503,0.003973658289760351
307,0.001918054185807705,0.0038588875206187366
308,0.001974329189397395,0.004009745898656547
309,0.0019612292060628535,0.0039739333093166355
310,0.0019259958062320948,0.004050633404403925
311,0.002002387517131865,0.004096554196439684
312,0.00194495830219239,0.004036325006745755
313,0.002028349996544421,0.004062254214659333
314,0.002026787493377924,0.004156262497417629
315,0.002055879100225866,0.004180358396843076
316,0.0019897833932191133,0.004171512508764863
317,0.002082112501375377,0.0041571166832000015
318,0.002061274996958673,0.0042627833783626555
319,0.0021250125020742415,0.004236579220741987
320,0.0021446791011840104,0.004332058387808502
321,0.00210103748831898,0.0042532458901405334
322,0.0021530625177547335,0.004397858306765557
323,0.002161783305928111,0.004288162500597536
324,0.0021474209148436784,0.004375154199078679
325,0.002104108291678131,0.00442156670615077
326,0.0021733667002990843,0.004444137495011091
327,0.002201266586780548,0.004500112496316433
328,0.0021880083018913864,0.004439479089342058
329,0.0022060791961848736,0.004553187498822808
330,0.002174724987708032,0.004534166608937085
331,0.0022363458992913365,0.004616833315230906
332,0.0022112333914265036,0.004592037503607571
333,0.0023028625175356863,0.004669183399528265
334,0.0022328375140205025,0.004640795779414475
335,0.0024557416792958973,0.0047004374908283355
336,0.0023288416909053923,0.004729191679507494
337,0.0023208583937957884,0.004791399999521673
338,0.0023509458871558307,0.004858195804990828
339,0.002381962491199374,0.00487438749987632
340,0.0023764667101204397,0.004813858307898045
341,0.002315591601654887,0.0049100792035460476
342,0.0023722958052530886,0.00482743747998029
343,0.0023507667006924748,0.005045070918276906
344,0.0023869582917541267,0.004903375008143485
345,0.0023919666884467004,0.004988704086281359
346,0.0024572583148255943,0.005015212506987154
347,0.0024550833040848374,0.004981137509457767
348,0.00247582090087235,0.005087254103273153
349,0.0024361209012567996,0.005071241594851017
350,0.002548062498681247,0.0051431624917313455
351,0.0024558499921113254,0.005131291691213846
352,0.002557404199615121,0.005201895791105926
353,0.002501308312639594,0.005226454115472734
354,0.002511270809918642,0.0052125625079497695
355,0.0026105166878551246,0.005298683303408325
356,0.002531320904381573,0.005320354085415602
357,0.0025605584029108285,0.0052743125008419154
358,0.002658699988387525,0.005385616701096297
359,0.0025712708942592145,0.005378529103472829
360,0.0026639082934707403,0.005403316579759121
361,0.0026385999983176587,0.0054660583147779105
362,0.00263522919267416,0.005526170786470175
363,0.0027190291788429023,0.005573104112409055
364,0.002699283300898969,0.005518133286386728
365,0.002739820792339742,0.005533358291722834
366,0.0027451167115941644,0.005531108379364014
367,0.0027808833867311476,0.0056860500015318395
368,0.002757595805451274,0.00563181668985635
369,0.002792908297851682,0.005794966593384743
370,0.002818129095248878,0.0057908165967091915
371,0.0028582749888300895,0.0057392249815166
372,0.002860879199579358,0.00586167499423027
373,0.002886970806866884,0.005944474996067583
374,0.0028984209056943655,0.005945399985648692
375,0.0029335750034078954,0.005967950006015599
376,0.0029334749793633818,0.005962383304722607
377,0.002939395885914564,0.00610041250474751
378,0.0029556707944720984,0.006127141695469618
379,0.002970316703431308,0.00610749579500407
380,0.002968716691248119,0.006155008287169039
381,0.0030254292069002986,0.006188495899550617
382,0.0030406042002141475,0.0062277792021632195
383,0.0030306499917060136,0.00622767920140177
384,0.003060120809823275,0.006256129196844995
385,0.003056541597470641,0.006241595814935863
386,0.0030721583170816302,0.006289050006307662
387,0.0030799916014075278,0.006327783316373825
388,0.0030695541063323617,0.006230016611516476
389,0.0030984499957412482,0.00628379168920219
390,0.003041129116900265,0.0063699833815917374
391,0.0030561167048290374,0.0064441290916875
392,0.0031652749981731176,0.0063463750062510375
393,0.003175541711971164,0.00646885831374675
394,0.003100391593761742,0.006561520812101662
395,0.003222304210066795,0.006559216696768999
396,0.0032374416012316944,0.00658241668716073
397,0.003297962504439056,0.006649608304724097
398,0.0032766250194981696,0.0069553625071421266
399,0.003229229198768735,0.006595070916227996
400,0.0032314334064722063,0.006639362499117851
401,0.003320174990221858,0.006776645802892745
402,0.003228012518957257,0.006724187498912215
403,0.003301075007766485,0.006740191695280373
404,0.003291508392430842,0.006821858300827444
405,0.003298187511973083,0.0068557749968022105
406,0.0033813332905992866,0.006982950004749
407,0.0034440417075529695,0.006997000006958842
408,0.0034510666970163583,0.007054295809939504
409,0.003398145898245275,0.006976624997332692
410,0.0034588582813739775,0.007080320897512138
411,0.003485058294609189,0.007148250006139278
412,0.0034173249965533613,0.007104704203084111
413,0.0034899374935775996,0.00703486658167094
414,0.0035432833014056087,0.00718613329809159
415,0.003450408298522234,0.007382004079408944
416,0.0035585958044975995,0.007189949997700751
417,0.0034894125070422887,0.007283812505193055
418,0.0035658666864037515,0.007266441686078906
419,0.003558308305218816,0.007309295819140971
420,0.003612000006251037,0.007404304202646017
421,0.0035461417166516183,0.007453124993480742
422,0.003642816701903939,0.0073933209059759974
423,0.0037116457941010596,0.007592508289963007
424,0.0037142874905839564,0.007651499984785914
425,0.0036562833003699778,0.007646854198537767
426,0.0037432292010635138,0.007585995807312429
427,0.0037391499849036337,0.007617900008335709
428,0.0037206582957878707,0.007656495878472924
429,0.003795137512497604,0.007619512500241399
430,0.0037797917146235706,0.007691483292728662
431,0.0037843583850190043,0.007693054107949138
432,0.0038452374981716277,0.007937154197134078
433,0.00385815838817507,0.007989033404737712
434,0.003918270813301206,0.007972604082897305
435,0.003973924997262656,0.008097362495027483
436,0.0039455624995753166,0.008093783305957914
437,0.00395968749653548,0.008085029199719429
438,0.003946649981662631,0.008030729205347597
439,0.003917224984616041,0.008092124992981554
440,0.003952745907008648,0.008028974989429116
441,0.003983954107388854,0.008145804097875953
442,0.003938537510111928,0.008247045916505158
443,0.003957629203796387,0.008183329203166067
444,0.003994724992662668,0.008406008291058243
445,0.003948458307422698,0.008394191600382328
446,0.004041124996729195,0.008303387509658932
447,0.004156149993650615,0.008310241694562136
448,0.004136229096911847,0.008330312510952353
449,0.004106687498278916,0.008399708406068384
450,0.004209800017997622,0.008420516597107052
451,0.004113212507218122,0.00853728330694139
452,0.004164462490007281,0.008508254098705948
453,0.004213716718368232,0.008716208301484585
454,0.004256533295847476,0.008695112518034875
455,0.0042599167209118605,0.008752195816487073
456,0.004274566611275077,0.008659949991852045
457,0.004177854186855257,0.008786054095253348
458,0.0042424000101163985,0.008739679213613271
459,0.004274162510409951,0.008829358289949596
460,0.004322883300483226,0.008867274993099273
461,0.00439993750769645,0.008923704200424255
462,0.004371987492777407,0.009003875008784235
463,0.0043955500004813075,0.008946754108183085
464,0.004388208291493357,0.009042308293282985
465,0.004498429084196687,0.009032783308066427
466,0.0043633875204250215,0.009097237489186227
467,0.004446162492968142,0.009082491602748632
468,0.004472991684451699,0.009187462506815791
469,0.00443678330630064,0.009154766704887152
470,0.004530754103325307,0.009195770788937806
471,0.004591424996033311,0.009390995814464986
472,0.0044817124959081415,0.009402870805934072
473,0.00446081249974668,0.009297345811501146
474,0.0046383874956518415,0.009815616696141661
475,0.0047028000000864266,0.009636941691860556
476,0.004699699999764562,0.009605166595429182
477,0.004713320801965892,0.009534187521785498
478,0.004662141692824662,0.009601879213005305
479,0.004778862511739135,0.009812375018373131
480,0.00478835420217365,0.009779304102994501
481,0.004776279185898602,0.009839583397842943
482,0.0048198167001828555,0.00982926250435412
483,0.004825524985790253,0.009766600001603365
484,0.00481429579667747,0.009902391606010497
485,0.004764654184691608,0.010022087511606515
486,0.004882804094813764,0.009905116586014628
487,0.004857991705648601,0.009850800014100968
488,0.004821616690605879,0.009953908412717283
489,0.0048973332857713105,0.010000995802693069
490,0.0048159916885197164,0.010112020815722645
491,0.004823208297602832,0.010175250004976988
492,0.004894795897416771,0.010158054204657674
493,0.004942562500946224,0.010087670804932714
494,0.004948079190216959,0.010201729112304747
495,0.005054800002835691,0.010218770802021026
496,0.005043974984437228,0.01024793330579996
497,0.005031962506473064,0.010308491694740952
498,0.005038204207085073,0.010333624994382262
499,0.0050960042048245665,0.01058015418238938
500,0.005158029217272997,0.01039080829359591
501,0.005207254202105105,0.010596741689369082
502,0.005179541604593396,0.010492154187522829
503,0.005098595912568271,0.010644683288410306
504,0.005079741706140339,0.010651141684502364
505,0.005229549994692206,0.0106326375156641
506,0.00515269588213414,0.010656641586683691
507,0.0052559457952156665,0.010784337506629526
508,0.005303766718134284,0.010840050014667212
509,0.005308291688561439,0.01093295409809798
510,0.005299166613258422,0.01089647498447448
511,0.005257633305154741,0.01087559589650482
512,0.005390649987384677,0.010971716605126858
513,0.005409095901995897,0.010989337507635356
514,0.005295533314347267,0.011084045795723797
515,0.005344970803707838,0.01113102501258254
516,0.005484524997882545,0.011143216607160866
517,0.0055594583041965965,0.011410733289085328
518,0.005546508403494954,0.011474808305501938
519,0.005582016683183611,0.011544837499968708
520,0.0055772292194888,0.011382179195061326
521,0.0056160208070650695,0.0114193000132218
522,0.005604033288545906,0.011436462495476007
523,0.0056764625012874605,0.01157859161030501
524,0.005640783300623298,0.011387854092754423
525,0.005647808290086686,0.011508070887066424
526,0.005703545804135501,0.011507029086351395
527,0.0055750041967257856,0.01159530421718955
528,0.005729054193943739,0.011618729215115309
529,0.005684883380308747,0.011705295811407269
530,0.005753220897167921,0.011811250005848706
531,0.005676016607321799,0.011763454205356539
532,0.005788270803168416,0.011799829197116196
533,0.005787366605363786,0.011853787512518466
534,0.005888595804572105,0.011974700004793703
535,0.005870716599747539,0.01199195000808686
536,0.005795625015161931,0.011981579195708036
537,0.005902645899914205,0.011963675008155405
538,0.005955445813015103,0.012154666590504348
539,0.006011174991726875,0.012093645916320384
540,0.005985300010070205,0.012211229093372822
541,0.005911991698667407,0.012144712498411536
542,0.005901183281093836,0.01226844999473542
543,0.006058904086239636,0.012389349984005094
544,0.0060712833190336825,0.012376137496903538
545,0.006127320812083781,0.012451070896349847
546,0.006021904200315476,0.012528895819559693
547,0.006094454089179635,0.012559033301658928
548,0.006078395899385214,0.012576466705650092
549,0.006112587498500943,0.012583129201084375
550,0.0062025916064158085,0.012717233318835498
551,0.006171587482094764,0.012825975008308888
552,0.0063315916806459425,0.013000591704621912
553,0.006375529197975993,0.013409774983301759
554,0.006752212508581578,0.012865950004197657
555,0.006489683408290148,0.013130191597156227
556,0.006389024993404746,0.013169974996708333
557,0.006443766597658396,0.013112854096107185
558,0.006424249988049269,0.012966066715307534
559,0.0064248374896124,0.013003912498243153
560,0.006407341593876481,0.013173404103145003
561,0.006428116699680686,0.013143795798532665
562,0.006552633410319686,0.013337104208767414
563,0.006453700014390051,0.013257050001993776
564,0.00644380000885576,0.013296933402307332
565,0.006524445815011859,0.01334860420320183
566,0.006625837506726384,0.013436333392746747
567,0.006633195793256164,0.013366900011897087
568,0.006511016609147191,0.013394229183904826
569,0.006676125014200807,0.013482645782642067
570,0.006657491601072252,0.013558062491938472
571,0.00660313330590725,0.01362510418985039
572,0.0066498250002041456,0.01368330828845501
573,0.006661279103718698,0.013758433307521046
574,0.006756020803004503,0.01380177920218557
575,0.006700291717424989,0.013800558284856379
576,0.006767162494361401,0.013838062481954693
577,0.0068474540952593085,0.01394918339792639
578,0.006742104096338153,0.014083704096265137
579,0.00690957501064986,0.014216683385893703
580,0.00704286671243608,0.014268629206344485
581,0.0069851583102717996,0.01450527091510594
582,0.007026637508533895,0.014160287496633828
583,0.0069102457957342265,0.014372220798395573
584,0.006976437498815357,0.014407808287069201
585,0.0070156249916180965,0.014369308296591044
586,0.006998329213820398,0.014340520789846777
587,0.006988904206082225,0.014548033312894403
588,0.007133937510661781,0.01449341659899801
589,0.00713932910002768,0.014789595804177224
590,0.006956858397461474,0.014624216686934232
591,0.007138199987821281,0.014587999996729195
592,0.007162429206073284,0.014578579179942607
593,0.007198354206047952,0.014625500002875925
594,0.0071330582955852154,0.014752645906992257
595,0.0072050834074616436,0.014800866693258285
596,0.007344012497924268,0.014814525004476308
597,0.007266704086214304,0.014922179211862386
598,0.007246237504296005,0.014896475011482835
599,0.007292737509123981,0.015381270903162658
600,0.007764295814558864,0.016064033401198684
